    name        version       date size
1  dplyr   0.1.1.tar.gz 2014-01-29  530
2  dplyr   0.1.2.tar.gz 2014-02-24  533
3  dplyr   0.1.3.tar.gz 2014-03-15  535
4  dplyr     0.1.tar.gz 2014-01-16  2.7
5  dplyr     0.2.tar.gz 2014-05-21  577
6  dplyr 0.3.0.1.tar.gz 2014-10-08  629
7  dplyr 0.3.0.2.tar.gz 2014-10-11  628
8  dplyr     0.3.tar.gz 2014-10-04  629
9  dplyr   0.4.0.tar.gz 2015-01-08  870
10 dplyr   0.4.1.tar.gz 2015-01-14  870
11 dplyr   0.4.2.tar.gz 2015-06-16  628
12 dplyr   0.4.3.tar.gz 2015-09-01  641
13 dplyr   0.5.0.tar.gz 2016-06-24  692
14 dplyr   0.7.0.tar.gz 2017-06-09  675
15 dplyr   0.7.1.tar.gz 2017-06-22  676
16 dplyr   0.7.2.tar.gz 2017-07-21  677
17 dplyr   0.7.3.tar.gz 2017-09-09  789
