     name        version       date size
1  ggplot   0.5.1.tar.gz 2007-06-10  1.8
2  ggplot   0.5.2.tar.gz 2007-06-18  1.8
3  ggplot   0.5.4.tar.gz 2007-07-08  1.8
4  ggplot   0.5.5.tar.gz 2007-09-01  1.8
5  ggplot   0.5.6.tar.gz 2007-10-20  1.8
6  ggplot   0.5.7.tar.gz 2008-01-11  1.8
7  ggplot     0.5.tar.gz 2007-06-01  7.1
8  ggplot     0.6.tar.gz 2008-04-03  1.9
9  ggplot     0.7.tar.gz 2008-10-05  1.9
10 ggplot   0.8.1.tar.gz 2008-12-14  1.9
11 ggplot   0.8.2.tar.gz 2009-02-25  2.0
12 ggplot   0.8.3.tar.gz 2009-04-20  2.0
13 ggplot   0.8.4.tar.gz 2009-12-09  2.0
14 ggplot   0.8.5.tar.gz 2009-12-16  2.0
15 ggplot   0.8.6.tar.gz 2010-02-18  2.0
16 ggplot   0.8.7.tar.gz 2010-03-02  2.0
17 ggplot   0.8.8.tar.gz 2010-07-05  2.0
18 ggplot   0.8.9.tar.gz 2010-12-23  2.0
19 ggplot     0.8.tar.gz 2008-11-21  1.9
20 ggplot   0.9.0.tar.gz 2012-03-01  1.6
21 ggplot   0.9.1.tar.gz 2012-05-08  9.1
22 ggplot 0.9.2.1.tar.gz 2012-09-11  2.2
23 ggplot   0.9.2.tar.gz 2012-09-04  2.2
24 ggplot 0.9.3.1.tar.gz 2013-03-02  2.2
25 ggplot   0.9.3.tar.gz 2012-12-05  2.2
26 ggplot   1.0.0.tar.gz 2014-05-21  2.2
27 ggplot   1.0.1.tar.gz 2015-03-17  2.2
28 ggplot   2.0.0.tar.gz 2015-12-18  1.5
29 ggplot   2.1.0.tar.gz 2016-03-01  1.5
30 ggplot   2.2.0.tar.gz 2016-11-11  2.1
