    name       version       date size
1  knitr    0.1.tar.gz 2012-01-17  102
2  knitr    0.2.tar.gz 2012-01-28  221
3  knitr    0.3.tar.gz 2012-02-28  231
4  knitr    0.4.tar.gz 2012-04-29  236
5  knitr    0.5.tar.gz 2012-04-29  248
6  knitr  0.6.3.tar.gz 2012-06-22  292
7  knitr    0.6.tar.gz 2012-06-11  286
8  knitr    0.7.tar.gz 2012-07-17  325
9  knitr    0.8.tar.gz 2012-09-04  425
10 knitr    0.9.tar.gz 2013-01-20  431
11 knitr  1.0.5.tar.gz 2013-01-21  441
12 knitr    1.0.tar.gz 2013-01-14  441
13 knitr    1.1.tar.gz 2013-02-16  519
14 knitr    1.2.tar.gz 2013-07-16  486
15 knitr    1.3.tar.gz 2013-07-15  595
16 knitr  1.4.1.tar.gz 2013-08-12  725
17 knitr    1.4.tar.gz 2013-08-10  725
18 knitr    1.5.tar.gz 2013-09-28  720
19 knitr    1.6.tar.gz 2014-05-25  967
20 knitr    1.7.tar.gz 2014-10-13  807
21 knitr    1.8.tar.gz 2014-11-11  782
22 knitr    1.9.tar.gz 2015-01-20  659
23 knitr 1.10.5.tar.gz 2015-05-06  672
24 knitr   1.10.tar.gz 2015-04-23  672
25 knitr   1.11.tar.gz 2015-08-14  673
26 knitr 1.12.3.tar.gz 2016-01-22  811
27 knitr   1.12.tar.gz 2016-01-07  686
28 knitr   1.13.tar.gz 2016-05-09  866
29 knitr   1.14.tar.gz 2016-08-13  1.0
30 knitr 1.15.1.tar.gz 2016-11-22  1.0
31 knitr   1.15.tar.gz 2016-11-09  1.0
32 knitr   1.16.tar.gz 2017-05-18  1.0
33 knitr   1.17.tar.gz 2017-08-10  752
34 knitr   1.18.tar.gz 2017-12-27  635
35 knitr   1.19.tar.gz 2018-01-29  635
